ids_int	ids_str
51	IMG_ENC0036_0003_mi2_embedding
52	IMG_ENC0037_0001_mi2_embedding
53	IMG_ENC0037_0002_mi2_embedding
54	IMG_ENC0038_0001_mi2_embedding
55	IMG_ENC0038_0002_mi2_embedding
56	IMG_ENC0039_0001_mi2_embedding
57	IMG_ENC0039_0002_mi2_embedding
58	IMG_ENC0039_0003_mi2_embedding
59	IMG_ENC0040_0001_mi2_embedding
60	IMG_ENC0040_0002_mi2_embedding
61	IMG_ENC0040_0003_mi2_embedding
62	IMG_ENC0041_0001_mi2_embedding
63	IMG_ENC0042_0001_mi2_embedding
64	IMG_ENC0042_0002_mi2_embedding
65	IMG_ENC0042_0003_mi2_embedding
66	IMG_ENC0043_0001_mi2_embedding
67	IMG_ENC0044_0001_mi2_embedding
68	IMG_ENC0045_0001_mi2_embedding
69	IMG_ENC0046_0001_mi2_embedding
70	IMG_ENC0047_0001_mi2_embedding
71	IMG_ENC0048_0001_mi2_embedding
72	IMG_ENC0049_0001_mi2_embedding
73	IMG_ENC0049_0002_mi2_embedding
74	IMG_ENC0050_0001_mi2_embedding
75	IMG_ENC0051_0001_mi2_embedding
76	IMG_ENC0052_0001_mi2_embedding
77	IMG_ENC0052_0002_mi2_embedding
78	IMG_ENC0053_0001_mi2_embedding
79	IMG_ENC0053_0002_mi2_embedding
80	IMG_ENC0054_0001_mi2_embedding
81	IMG_ENC0054_0002_mi2_embedding
82	IMG_ENC0055_0001_mi2_embedding
83	IMG_ENC0056_0001_mi2_embedding
84	IMG_ENC0056_0002_mi2_embedding
85	IMG_ENC0057_0001_mi2_embedding
86	IMG_ENC0058_0001_mi2_embedding
87	IMG_ENC0059_0001_mi2_embedding
88	IMG_ENC0060_0001_mi2_embedding
89	IMG_ENC0061_0001_mi2_embedding
90	IMG_ENC0062_0001_mi2_embedding
91	IMG_ENC0063_0001_mi2_embedding
92	IMG_ENC0064_0001_mi2_embedding
93	IMG_ENC0065_0001_mi2_embedding
94	IMG_ENC0066_0001_mi2_embedding
95	IMG_ENC0067_0001_mi2_embedding
96	IMG_ENC0067_0002_mi2_embedding
97	IMG_ENC0067_0003_mi2_embedding
98	IMG_ENC0068_0001_mi2_embedding
99	IMG_ENC0068_0002_mi2_embedding
100	IMG_ENC0068_0003_mi2_embedding
101	IMG_ENC0069_0001_mi2_embedding
102	IMG_ENC0070_0001_mi2_embedding
103	IMG_ENC0071_0001_mi2_embedding
104	IMG_ENC0072_0001_mi2_embedding
105	IMG_ENC0072_0002_mi2_embedding
106	IMG_ENC0072_0003_mi2_embedding
107	IMG_ENC0073_0001_mi2_embedding
108	IMG_ENC0073_0002_mi2_embedding
109	IMG_ENC0073_0003_mi2_embedding
110	IMG_ENC0074_0001_mi2_embedding
111	IMG_ENC0075_0001_mi2_embedding
112	IMG_ENC0076_0001_mi2_embedding
113	IMG_ENC0076_0002_mi2_embedding
114	IMG_ENC0076_0003_mi2_embedding
115	IMG_ENC0077_0001_mi2_embedding
116	IMG_ENC0078_0001_mi2_embedding
117	IMG_ENC0079_0001_mi2_embedding
118	IMG_ENC0079_0002_mi2_embedding
119	IMG_ENC0079_0003_mi2_embedding
120	IMG_ENC0080_0001_mi2_embedding
121	IMG_ENC0080_0002_mi2_embedding
122	IMG_ENC0080_0003_mi2_embedding
123	IMG_ENC0081_0001_mi2_embedding
124	IMG_ENC0082_0001_mi2_embedding
125	IMG_ENC0083_0001_mi2_embedding
126	IMG_ENC0083_0002_mi2_embedding
127	IMG_ENC0084_0001_mi2_embedding
128	IMG_ENC0085_0001_mi2_embedding
129	IMG_ENC0086_0001_mi2_embedding
130	IMG_ENC0087_0001_mi2_embedding
131	IMG_ENC0087_0002_mi2_embedding
132	IMG_ENC0088_0001_mi2_embedding
133	IMG_ENC0089_0001_mi2_embedding
134	IMG_ENC0090_0001_mi2_embedding
135	IMG_ENC0091_0001_mi2_embedding
136	IMG_ENC0091_0002_mi2_embedding
137	IMG_ENC0091_0003_mi2_embedding
138	IMG_ENC0092_0001_mi2_embedding
139	IMG_ENC0092_0002_mi2_embedding
140	IMG_ENC0092_0003_mi2_embedding
141	IMG_ENC0093_0001_mi2_embedding
142	IMG_ENC0094_0001_mi2_embedding
143	IMG_ENC0095_0001_mi2_embedding
144	IMG_ENC0095_0002_mi2_embedding
145	IMG_ENC0095_0003_mi2_embedding
146	IMG_ENC0096_0001_mi2_embedding
147	IMG_ENC0097_0001_mi2_embedding
148	IMG_ENC0097_0002_mi2_embedding
149	IMG_ENC0098_0001_mi2_embedding
150	IMG_ENC0099_0001_mi2_embedding
151	IMG_ENC0100_0001_mi2_embedding
152	IMG_ENC0100_0002_mi2_embedding
153	IMG_ENC0100_0003_mi2_embedding
154	IMG_ENC0101_0001_mi2_embedding
155	IMG_ENC0101_0002_mi2_embedding
156	IMG_ENC0101_0003_mi2_embedding
157	IMG_ENC0102_0001_mi2_embedding
158	IMG_ENC0102_0002_mi2_embedding
159	IMG_ENC0103_0001_mi2_embedding
160	IMG_ENC0103_0002_mi2_embedding
161	IMG_ENC0103_0003_mi2_embedding
162	IMG_ENC0104_0001_mi2_embedding
163	IMG_ENC0105_0001_mi2_embedding
164	IMG_ENC0106_0001_mi2_embedding
165	IMG_ENC0107_0001_mi2_embedding
166	IMG_ENC0107_0002_mi2_embedding
167	IMG_ENC0107_0003_mi2_embedding
168	IMG_ENC0108_0001_mi2_embedding
169	IMG_ENC0109_0001_mi2_embedding
170	IMG_ENC0109_0002_mi2_embedding
171	IMG_ENC0110_0001_mi2_embedding
172	IMG_ENC0111_0001_mi2_embedding
173	IMG_ENC0111_0002_mi2_embedding
174	IMG_ENC0112_0001_mi2_embedding
175	IMG_ENC0113_0001_mi2_embedding
176	IMG_ENC0113_0002_mi2_embedding
177	IMG_ENC0114_0001_mi2_embedding
178	IMG_ENC0114_0002_mi2_embedding
179	IMG_ENC0114_0003_mi2_embedding
180	IMG_ENC0115_0001_mi2_embedding
181	IMG_ENC0115_0002_mi2_embedding
182	IMG_ENC0116_0001_mi2_embedding
183	IMG_ENC0116_0002_mi2_embedding
184	IMG_ENC0117_0001_mi2_embedding
185	IMG_ENC0118_0001_mi2_embedding
186	IMG_ENC0119_0001_mi2_embedding
187	IMG_ENC0120_0001_mi2_embedding
188	IMG_ENC0121_0001_mi2_embedding
189	IMG_ENC0122_0001_mi2_embedding
190	IMG_ENC0123_0001_mi2_embedding
191	IMG_ENC0123_0002_mi2_embedding
192	IMG_ENC0123_0003_mi2_embedding
193	IMG_ENC0124_0001_mi2_embedding
194	IMG_ENC0125_0001_mi2_embedding
195	IMG_ENC0126_0001_mi2_embedding
196	IMG_ENC0126_0002_mi2_embedding
197	IMG_ENC0127_0001_mi2_embedding
198	IMG_ENC0128_0001_mi2_embedding
199	IMG_ENC0129_0001_mi2_embedding
200	IMG_ENC0130_0001_mi2_embedding
201	IMG_ENC0131_0001_mi2_embedding
202	IMG_ENC0131_0002_mi2_embedding
203	IMG_ENC0131_0003_mi2_embedding
204	IMG_ENC0132_0001_mi2_embedding
205	IMG_ENC0133_0001_mi2_embedding
206	IMG_ENC0133_0002_mi2_embedding
207	IMG_ENC0134_0001_mi2_embedding
208	IMG_ENC0134_0002_mi2_embedding
209	IMG_ENC0135_0001_mi2_embedding
210	IMG_ENC0136_0001_mi2_embedding
211	IMG_ENC0136_0002_mi2_embedding
212	IMG_ENC0137_0001_mi2_embedding
213	IMG_ENC0137_0002_mi2_embedding
214	IMG_ENC0138_0001_mi2_embedding
215	IMG_ENC0139_0001_mi2_embedding
216	IMG_ENC0140_0001_mi2_embedding
217	IMG_ENC0140_0002_mi2_embedding
218	IMG_ENC0141_0001_mi2_embedding
219	IMG_ENC0142_0001_mi2_embedding
220	IMG_ENC0142_0002_mi2_embedding
221	IMG_ENC0143_0001_mi2_embedding
222	IMG_ENC0144_0001_mi2_embedding
223	IMG_ENC0144_0002_mi2_embedding
224	IMG_ENC0144_0003_mi2_embedding
225	IMG_ENC0145_0001_mi2_embedding
226	IMG_ENC0146_0001_mi2_embedding
227	IMG_ENC0147_0001_mi2_embedding
228	IMG_ENC0147_0002_mi2_embedding
229	IMG_ENC0147_0003_mi2_embedding
230	IMG_ENC0148_0001_mi2_embedding
231	IMG_ENC0148_0002_mi2_embedding
232	IMG_ENC0149_0001_mi2_embedding
233	IMG_ENC0149_0002_mi2_embedding
234	IMG_ENC0149_0003_mi2_embedding
235	IMG_ENC0150_0001_mi2_embedding
236	IMG_ENC0151_0001_mi2_embedding
237	IMG_ENC0152_0001_mi2_embedding
238	IMG_ENC0153_0001_mi2_embedding
239	IMG_ENC0153_0002_mi2_embedding
240	IMG_ENC0154_0001_mi2_embedding
241	IMG_ENC0154_0002_mi2_embedding
242	IMG_ENC0154_0003_mi2_embedding
243	IMG_ENC0155_0001_mi2_embedding
244	IMG_ENC0156_0001_mi2_embedding
245	IMG_ENC0156_0002_mi2_embedding
246	IMG_ENC0156_0003_mi2_embedding
247	IMG_ENC0157_0001_mi2_embedding
248	IMG_ENC0158_0001_mi2_embedding
249	IMG_ENC0158_0002_mi2_embedding
250	IMG_ENC0159_0001_mi2_embedding
251	IMG_ENC0160_0001_mi2_embedding
252	IMG_ENC0160_0002_mi2_embedding
253	IMG_ENC0161_0001_mi2_embedding
254	IMG_ENC0162_0001_mi2_embedding
255	IMG_ENC0163_0001_mi2_embedding
256	IMG_ENC0164_0001_mi2_embedding
257	IMG_ENC0165_0001_mi2_embedding
258	IMG_ENC0165_0002_mi2_embedding
259	IMG_ENC0165_0003_mi2_embedding
260	IMG_ENC0165_0004_mi2_embedding
261	IMG_ENC0165_0005_mi2_embedding
262	IMG_ENC0165_0006_mi2_embedding
263	IMG_ENC0166_0001_mi2_embedding
264	IMG_ENC0167_0001_mi2_embedding
265	IMG_ENC0168_0001_mi2_embedding
266	IMG_ENC0169_0001_mi2_embedding
267	IMG_ENC0169_0002_mi2_embedding
268	IMG_ENC0169_0003_mi2_embedding
269	IMG_ENC0170_0001_mi2_embedding
270	IMG_ENC0170_0002_mi2_embedding
271	IMG_ENC0171_0001_mi2_embedding
272	IMG_ENC0172_0001_mi2_embedding
273	IMG_ENC0173_0001_mi2_embedding
274	IMG_ENC0174_0001_mi2_embedding
275	IMG_ENC0175_0001_mi2_embedding
276	IMG_ENC0175_0002_mi2_embedding
277	IMG_ENC0175_0003_mi2_embedding
278	IMG_ENC0176_0001_mi2_embedding
279	IMG_ENC0176_0002_mi2_embedding
280	IMG_ENC0176_0003_mi2_embedding
281	IMG_ENC0177_0001_mi2_embedding
282	IMG_ENC0178_0001_mi2_embedding
283	IMG_ENC0179_0001_mi2_embedding
284	IMG_ENC0179_0002_mi2_embedding
285	IMG_ENC0179_0003_mi2_embedding
286	IMG_ENC0180_0001_mi2_embedding
287	IMG_ENC0181_0001_mi2_embedding
288	IMG_ENC0181_0002_mi2_embedding
289	IMG_ENC0182_0001_mi2_embedding
290	IMG_ENC0183_0001_mi2_embedding
291	IMG_ENC0183_0002_mi2_embedding
292	IMG_ENC0183_0003_mi2_embedding
293	IMG_ENC0183_0004_mi2_embedding
294	IMG_ENC0184_0001_mi2_embedding
295	IMG_ENC0184_0002_mi2_embedding
296	IMG_ENC0184_0003_mi2_embedding
297	IMG_ENC0185_0001_mi2_embedding
298	IMG_ENC0186_0001_mi2_embedding
299	IMG_ENC0186_0002_mi2_embedding
300	IMG_ENC0187_0001_mi2_embedding
301	IMG_ENC0187_0002_mi2_embedding
302	IMG_ENC0187_0003_mi2_embedding
303	IMG_ENC0188_0001_mi2_embedding
304	IMG_ENC0188_0002_mi2_embedding
305	IMG_ENC0188_0003_mi2_embedding
306	IMG_ENC0188_0004_mi2_embedding
307	IMG_ENC0188_0005_mi2_embedding
308	IMG_ENC0188_0006_mi2_embedding
309	IMG_ENC0188_0007_mi2_embedding
310	IMG_ENC0188_0008_mi2_embedding
311	IMG_ENC0188_0009_mi2_embedding
312	IMG_ENC0189_0001_mi2_embedding
313	IMG_ENC0190_0001_mi2_embedding
314	IMG_ENC0191_0001_mi2_embedding
315	IMG_ENC0191_0002_mi2_embedding
316	IMG_ENC0192_0001_mi2_embedding
317	IMG_ENC0192_0002_mi2_embedding
318	IMG_ENC0193_0001_mi2_embedding
319	IMG_ENC0194_0001_mi2_embedding
320	IMG_ENC0194_0002_mi2_embedding
321	IMG_ENC0195_0001_mi2_embedding
322	IMG_ENC0195_0002_mi2_embedding
323	IMG_ENC0196_0001_mi2_embedding
324	IMG_ENC0197_0001_mi2_embedding
325	IMG_ENC0198_0001_mi2_embedding
326	IMG_ENC0198_0002_mi2_embedding
327	IMG_ENC0199_0001_mi2_embedding
328	IMG_ENC0200_0001_mi2_embedding
329	IMG_ENC0201_0001_mi2_embedding
330	IMG_ENC0202_0001_mi2_embedding
331	IMG_ENC0202_0002_mi2_embedding
332	IMG_ENC0203_0001_mi2_embedding
333	IMG_ENC0204_0001_mi2_embedding
334	IMG_ENC0205_0001_mi2_embedding
335	IMG_ENC0205_0002_mi2_embedding
336	IMG_ENC0206_0001_mi2_embedding
337	IMG_ENC0207_0001_mi2_embedding
338	IMG_ENC0208_0001_mi2_embedding
339	IMG_ENC0209_0001_mi2_embedding
340	IMG_ENC0210_0001_mi2_embedding
341	IMG_ENC0211_0001_mi2_embedding
342	IMG_ENC0211_0002_mi2_embedding
343	IMG_ENC0211_0003_mi2_embedding
344	IMG_ENC0212_0001_mi2_embedding
345	IMG_ENC0213_0001_mi2_embedding
346	IMG_ENC0213_0002_mi2_embedding
347	IMG_ENC0213_0003_mi2_embedding
348	IMG_ENC0214_0001_mi2_embedding
349	IMG_ENC0214_0002_mi2_embedding
350	IMG_ENC0215_0001_mi2_embedding
351	IMG_ENC0216_0001_mi2_embedding
352	IMG_ENC0217_0001_mi2_embedding
353	IMG_ENC0217_0002_mi2_embedding
354	IMG_ENC0218_0001_mi2_embedding
355	IMG_ENC0219_0001_mi2_embedding
356	IMG_ENC0220_0001_mi2_embedding
357	IMG_ENC0221_0001_mi2_embedding
358	IMG_ENC0221_0002_mi2_embedding
359	IMG_ENC0222_0001_mi2_embedding
360	IMG_ENC0223_0001_mi2_embedding
361	IMG_ENC0224_0001_mi2_embedding
362	IMG_ENC0225_0001_mi2_embedding
363	IMG_ENC0226_0001_mi2_embedding
364	IMG_ENC0227_0001_mi2_embedding
365	IMG_ENC0228_0001_mi2_embedding
366	IMG_ENC0229_0001_mi2_embedding
367	IMG_ENC0229_0002_mi2_embedding
368	IMG_ENC0230_0001_mi2_embedding
369	IMG_ENC0230_0002_mi2_embedding
370	IMG_ENC0230_0003_mi2_embedding
371	IMG_ENC0231_0001_mi2_embedding
372	IMG_ENC0232_0001_mi2_embedding
373	IMG_ENC0232_0002_mi2_embedding
374	IMG_ENC0233_0001_mi2_embedding
375	IMG_ENC0234_0001_mi2_embedding
376	IMG_ENC0234_0002_mi2_embedding
377	IMG_ENC0235_0001_mi2_embedding
378	IMG_ENC0236_0001_mi2_embedding
379	IMG_ENC0236_0002_mi2_embedding
380	IMG_ENC0237_0001_mi2_embedding
381	IMG_ENC0238_0001_mi2_embedding
382	IMG_ENC0239_0001_mi2_embedding
383	IMG_ENC0239_0002_mi2_embedding
384	IMG_ENC0240_0001_mi2_embedding
385	IMG_ENC0240_0002_mi2_embedding
386	IMG_ENC0240_0003_mi2_embedding
387	IMG_ENC0241_0001_mi2_embedding
388	IMG_ENC0241_0002_mi2_embedding
389	IMG_ENC0242_0001_mi2_embedding
390	IMG_ENC0242_0002_mi2_embedding
391	IMG_ENC0242_0003_mi2_embedding
392	IMG_ENC0243_0001_mi2_embedding
393	IMG_ENC0244_0001_mi2_embedding
394	IMG_ENC0245_0001_mi2_embedding
395	IMG_ENC0246_0001_mi2_embedding
396	IMG_ENC0246_0002_mi2_embedding
397	IMG_ENC0247_0001_mi2_embedding
398	IMG_ENC0248_0001_mi2_embedding
399	IMG_ENC0249_0001_mi2_embedding
400	IMG_ENC0250_0001_mi2_embedding
401	IMG_ENC0251_0001_mi2_embedding
402	IMG_ENC0252_0001_mi2_embedding
403	IMG_ENC0253_0001_mi2_embedding
404	IMG_ENC0253_0002_mi2_embedding
405	IMG_ENC0254_0001_mi2_embedding
406	IMG_ENC0254_0002_mi2_embedding
407	IMG_ENC0255_0001_mi2_embedding
408	IMG_ENC0255_0002_mi2_embedding
409	IMG_ENC0256_0001_mi2_embedding
410	IMG_ENC0257_0001_mi2_embedding
411	IMG_ENC0258_0001_mi2_embedding
412	IMG_ENC0259_0001_mi2_embedding
413	IMG_ENC0260_0001_mi2_embedding
414	IMG_ENC0261_0001_mi2_embedding
415	IMG_ENC0262_0001_mi2_embedding
416	IMG_ENC0263_0001_mi2_embedding
417	IMG_ENC0264_0001_mi2_embedding
418	IMG_ENC0265_0001_mi2_embedding
419	IMG_ENC0266_0001_mi2_embedding
420	IMG_ENC0267_0001_mi2_embedding
421	IMG_ENC0267_0002_mi2_embedding
422	IMG_ENC0268_0001_mi2_embedding
423	IMG_ENC0268_0002_mi2_embedding
424	IMG_ENC0269_0001_mi2_embedding
425	IMG_ENC0270_0001_mi2_embedding
426	IMG_ENC0270_0002_mi2_embedding
427	IMG_ENC0271_0001_mi2_embedding
428	IMG_ENC0271_0002_mi2_embedding
429	IMG_ENC0271_0003_mi2_embedding
430	IMG_ENC0271_0004_mi2_embedding
431	IMG_ENC0272_0001_mi2_embedding
432	IMG_ENC0273_0001_mi2_embedding
433	IMG_ENC0274_0001_mi2_embedding
434	IMG_ENC0274_0002_mi2_embedding
435	IMG_ENC0274_0003_mi2_embedding
436	IMG_ENC0274_0004_mi2_embedding
437	IMG_ENC0274_0005_mi2_embedding
438	IMG_ENC0275_0001_mi2_embedding
439	IMG_ENC0275_0002_mi2_embedding
440	IMG_ENC0276_0001_mi2_embedding
441	IMG_ENC0276_0002_mi2_embedding
442	IMG_ENC0277_0001_mi2_embedding
443	IMG_ENC0277_0002_mi2_embedding
444	IMG_ENC0277_0003_mi2_embedding
445	IMG_ENC0277_0004_mi2_embedding
446	IMG_ENC0278_0001_mi2_embedding
447	IMG_ENC0279_0001_mi2_embedding
448	IMG_ENC0279_0002_mi2_embedding
